রপ্তানি	﻿রপ্তানি
দিনের	দিনের
বৈঠক	বৈঠক
প্রায়	প্রায়
নিস্ফলাই	নিস্ফলাই
রয়ে	রয়ে
গেল	গেল
বলা	বলা
যায়	যায়

ধরা	ধরা
যাক	যাক
ত্রিভুজটির	ত্রিভুজটির
প্রথম	প্রথম
অবস্থায়	অবস্থায়

এবার	এবার
কাঠের	কাঠের
তৈরি	তৈরি

ত্রিভূজের	ত্রিভূজের

বাহু	বাহু
বরাবর	বরাবর
একটি	একটি
স্কেল	স্কেল
রাখা	রাখা
হল	হল

গরিলারাজ	গরিলারাজ
মোয়ামি	মোয়ামি
ন্গাগি	ন্গাগি
সেখানেই	সেখানেই
মৃত্যুবরণ	মৃত্যুবরণ
করল	করল

যেমন	যেমন
এখন	এখন
তুলেছে	তুলেছে

স্থিতির	স্থিতির
মাপকরূপে	মাপকরূপে
যদি	যদি
না	না
ভূমি	ভূমি
না	না
পাওয়া	পাওয়া
যেত	যেত
তা	তা
হলে	হলে
কোনো	কোনো
একটি	একটি
ঝাঁক	ঝাঁক
বিশেষভাবে	বিশেষভাবে
নির্বাচিত	নির্বাচিত
এ	এ
অনুমান	অনুমান
করার	করার
কোনো	কোনো
যুক্তি	যুক্তি
থাকত	থাকত
না	না

বরং	বরং
আমি	আমি
রাম	রাম
নাম	নাম
করব	করব

বঙ্গজননীর	বঙ্গজননীর
প্রতি	প্রতি
কবির	কবির
ঐকান্তিক	ঐকান্তিক
প্রার্থনা	প্রার্থনা
হল	হল
তিনি	তিনি
যেন	যেন
কবিকে	কবিকে
স্মৃতিতে	স্মৃতিতে
ধরে	ধরে
রাখেন	রাখেন
তাঁর	তাঁর
অপার	অপার
করুণা	করুণা
থেকে	থেকে
কবিকে	কবিকে
যেন	যেন
বঞ্চিত	বঞ্চিত
না	না
করেন	করেন

সম্মুখে-পশ্চাতে	সম্মুখে-পশ্চাতে
ভিতরে-বাইরে	ভিতরে-বাইরে
যেদিকেই	যেদিকেই
যাওয়া	যাওয়া
যাক	যাক
না	না
কেন	কেন
পথ	পথ
দুস্তর	দুস্তর
ও	ও
সঙ্কীর্ণ	সঙ্কীর্ণ

জয়ন্তী	জয়ন্তী
গঙ্গারামের	গঙ্গারামের
কক্ষে	কক্ষে
গিয়ে	গিয়ে
হাজির	হাজির
হল	হল

এই	এই
রূপে	রূপে
বিষাক্ত	বিষাক্ত
বায়ু	বায়ু
বায়ুতে	বায়ুতে
অপরিমিত	অপরিমিত
পরিমাণে	পরিমাণে
সঞ্চিত	সঞ্চিত
হইতেছে	হইতেছে
কিন্তু	কিন্তু
তজ্জনিত	তজ্জনিত
অপ্রিয়কর	অপ্রিয়কর
অবস্থা	অবস্থা
কাহারও	কাহারও
এ	এ
পর্য্যন্ত	পর্য্যন্ত
ঘটিয়াছে	ঘটিয়াছে
কিনা	কিনা
তাহা	তাহা
কেহই	কেহই
বলিতে	বলিতে
পারিবেন	পারিবেন
না	না

ভাটিয়ালী	ভাটিয়ালী
গীত	গীত
হয়	হয়
মাঝিদের	মাঝিদের
দ্বারা	দ্বারা

বুর্জোয়া	বুর্জোয়া
সমাজে	সমাজে
পুঁজি	পুঁজি
যদি	যদি
শ্রমিককে	শ্রমিককে
নিয়োগ	নিয়োগ
না	না
করে	করে
তবে	তবে
শ্রমিকের	শ্রমিকের
ধ্বংস	ধ্বংস
অবধারিত	অবধারিত

মনে	মনে
হোত	হোত
এঁদেরও	এঁদেরও
তো	তো
দুঃখ	দুঃখ
আছে	আছে
কারও	কারও
হয়তো	হয়তো
আমার	আমার
চেয়েও	চেয়েও
অনেক	অনেক
বেশি	বেশি

ইংরেজ	ইংরেজ
জার্মাণ	জার্মাণ
ফরাসী	ফরাসী
মার্কিন	মার্কিন
প্রভৃতি	প্রভৃতি
পাশ্চাত্য	পাশ্চাত্য
ভারততত্ত্ব	ভারততত্ত্ব
বিশারদগণ	বিশারদগণ
সংস্কৃত	সংস্কৃত
সাহিত্যের	সাহিত্যের
বিস্তৃত	বিস্তৃত
পাণ্ডিত্যপূর্ণ	পাণ্ডিত্যপূর্ণ
ইতিহাস	ইতিহাস
রচনা	রচনা
করিয়াছেন	করিয়াছেন
সেগুলি	সেগুলি
সংস্কৃত	সংস্কৃত
ও	ও
প্রাকৃত	প্রাকৃত
ভাষার	ভাষার
অনুশীলনে	অনুশীলনে
নিরত	নিরত
অধ্যাপক	অধ্যাপক
গবেষক	গবেষক
ছাত্র	ছাত্র
ও	ও
শিক্ষিত	শিক্ষিত
আগ্রহী	আগ্রহী
পাঠক-সমাজের	পাঠক-সমাজের
পক্ষে	পক্ষে
অপরিহার্য্য	অপরিহার্য্য
রূপে	রূপে
বিবেচিত	বিবেচিত
হইয়া	হইয়া
থাকে	থাকে

এমন	এমন
কোনো	কোনো
পথ	পথ
নেই	নেই
যার	যার
সাহায্যে	সাহায্যে
ইলেকট্রনের	ইলেকট্রনের
আকৃতি	আকৃতি
কতো	কতো
বড়ো	বড়ো
বলা	বলা
যেতে	যেতে
পারে	পারে
বা	বা
জানা	জানা
যেতে	যেতে
পারে	পারে
তার	তার
গঠনাকৃতিই	গঠনাকৃতিই
বা	বা
কেমন	কেমন
কারণ	কারণ
ইলেক্ট্রনের	ইলেক্ট্রনের
মধ্যে	মধ্যে
এমন	এমন
কোন	কোন
দুটি	দুটি
বিন্দু	বিন্দু
নেই	নেই
যা	যা
আলাদা	আলাদা
করা	করা
যাবে	যাবে
বা	বা
যাদের	যাদের
মধ্যে	মধ্যে
দূরত্ব	দূরত্ব
মাপা	মাপা
যাবে	যাবে

এখন	এখন
কর্পূর	কর্পূর
পাইনিন	পাইনিন
ও	ও
থুজনের	থুজনের
মধ্যে	মধ্যে
মূলগত	মূলগত
সাদৃশ্য	সাদৃশ্য
আছে	আছে

দ্বাপর	দ্বাপর
যুগে	যুগে
শ্রীকৃষ্ণের	শ্রীকৃষ্ণের
অষ্ট	অষ্ট
পাটরাণীদের	পাটরাণীদের
মধ্যে	মধ্যে
জাম্ববতীর	জাম্ববতীর
গর্ভে	গর্ভে
শাম্বর	শাম্বর
জন্ম	জন্ম
হয়	হয়

সিংহ	সিংহ

আজকাল	আজকাল
ট্যাক্সির	ট্যাক্সির
ভাড়া	ভাড়া
মানে	মানে
একবেলার	একবেলার
বাজার	বাজার
খরচ	খরচ

শেখর	শেখর
বললো	বললো
আরে	আরে
আরে	আরে
টানিস	টানিস
না	না
খুলছি	খুলছি
খুলছি	খুলছি

ত্রিদিব	ত্রিদিব
চৌধুরীর	চৌধুরীর
প্রস্তাবমত	প্রস্তাবমত
ঠিক	ঠিক
হল	হল
তিনজনের	তিনজনের
মধ্যে	মধ্যে
বহরমপুরের	বহরমপুরের
দেবব্রত	দেবব্রত
বন্দ্যোপাধ্যায়কে	বন্দ্যোপাধ্যায়কে
মন্ত্রিসভায়	মন্ত্রিসভায়
পাঠানো	পাঠানো
হবে	হবে

আমার	আমার
কান্না	কান্না
কেউ	কেউ
শোনেনি	শোনেনি
আমার	আমার
দীর্ঘশ্বাস	দীর্ঘশ্বাস
কেউ	কেউ
বোঝেনি	বোঝেনি

মনসা	মনসা
চণ্ডী	চণ্ডী
মায়াবতী	মায়াবতী
গুরুকুল	গুরুকুল

সিনেমার	সিনেমার
আড়ালে	আড়ালে

দুইটির	দুইটির
রচনার	রচনার
মধ্যে	মধ্যে
সময়ের	সময়ের
দুস্তর	দুস্তর
ব্যবধান	ব্যবধান

ভজ	ভজ

স্থায়ী	স্থায়ী
