রপ্তানি	﻿রপ্তান
ততই	তত
জনবৃদ্ধির	জনবৃদ্ধি
পথের	পথ
অন্তরায়গুলি	অন্তরায়গুল
অন্তর্হিত	অন্তর্হিত
হইল	হয়

এক	এক
সাক্ষাত্্কারে	সাক্ষাত্্ক
তিনি	তিনি
জানিয়েছেন	জানা
তাঁর	তিনি
ছবি	ছবি
এখনও	এখন
সর্বত্র	সর্বত্র
মুক্তির	মুক্ত
পর	পর
পূর্ণ	পূর্ণ
প্রেক্ষাগৃহে	প্রেক্ষাগ
চলে	চলা

অরবিন্দ	অরবিন্
দেখ	দে
আমি	আমি
অঙ্কের	অঙ্ক
মাস্টার	মাস্টা
আই	আই
বিলিভ	বিলি
ইন	ই
কনক্লুশনস	কনক্লুশন

তকরারি	তকরার
দাখিলা	দাখিল
পদ্ধতি	পদ্ধত

তখন	তখন
শব্দটি	শব্দট
সম	সম
উপসর্গের	উপসর্
বিপরীত	বিপরী

কারণ	কারণ
নিশাকালই	নিশাক
তন্ত্রসাদনায়	তন্ত্রসাদনা
প্রশস্ত	প্রশস্ত
কাল	কাল

পাশেই	পা
আদি	আদি
গঙ্গা	গঙ্গ
সামনে	সামনে
চিড়িয়াখানার	চিড়িয়াখানা
সবুজ	সবুজ
সমারোহ	সমারো

আকুমল	আকুম
তাঁকে	তিনি
বললো	বলল
আপনার	আপনি
ছেলের	ছেলে
কাছ	কাছ
থেকে	থেকে
আপনার	আপনি
ছবির	ছ
কথা	কথা
শুনেছি	শুন

আইনের	আইন
মারপ্যাঁচ	মারপ্যাঁ
লক্ষ্য	লক্ষ্য
করে	করা
যদি	যদি
ঝোপ	ঝোপ
বুঝে	বুঝ
কোপ	কোপ
মারতে	মারা
পারো	পারা
যদি	যদি
ভালো	ভালো
উকিল	উকিল
মোক্তারের	মোক্তা
পিছনে	পি
টু-পাইস	টু-পাই
ঢালতে	ঢা
পারো	পারা
যদি	যদি
গণপতি	গণপত
সামন্তর	সামন্ত
মতো	মতো
তদ্বিরকারককে	তদ্বিরকার
রাহা	রাহ
খরচ	খরচ
জলখাবার	জলখাবা
এবং	এবং
কমিশনে	কমিশন
রাখতে	রাখা
পারো	পারা
তা	তা
হলে	হওয়া
আইনটা	আইনট
তোমার	তিনি

গাড়ি	গাড়
হাজির	হাজির

ইদানীং	ইদানী
রঙের	রঙ
ক্ষেত্রে	ক্ষেত্র
অদ্ভুত	অদ্ভুত
শক্তি	শক্তি
নৈপুণ্যের	নৈপুণ্
প্রকাশ	প্রকাশ
দেখা	দেখা
যাচ্ছে	যাওয়া

প্রথমে	প্রথম
দুটো	দুই
শক্ত	শক্ত
বিষয়	বিষয়
পড়বে	পড়ব

মার্চ	মার্
অন্ধ্রপ্রদেশের	অন্ধ্রপ্রদেশ
নারায়ণ	নারায়
কামারি	কামার
যাঁকে	যাঁক
আরও	আর
জনা	জন
পনেরো	পনেরো
গ্রামবাসীর	গ্রামবাসী
সঙ্গে	সঙ্গ
জ্বলন্ত	জ্বলন্
বাড়িতে	বাড়
ঠেলে	ঠো
দেওয়া	দেওয়া
হয়েছিল	হওয়া

কলকাতা	কলকাতা
থেকে	থেকে
মাত্র	মাত্র
পাঁচ	পাঁচ
কিলোমিটার	কিলোমিটার
দূরে	দূর
ডানকুনির	ডানকুনি
কাছে	কাছ
সবুজ	সবুজ
শ্যামলীমার	শ্যামলীমা
মাঝে	মাঝে
গড়ে	গড়
ওঠা	ওঠা
অন্যতম	অন্য
একটি	এক
সাদা	সাদা
দুধ	দুধ
বাড়ি	বাড়নো

বাঘ	বাঘ
সিংহ	সিংহ
শিকার	শিকার
করে	করা
আনে	আনা
আর	আর
শেয়াল	শেয়া
চণ্ডরব	চণ্ডর
দিব্যি	দিব্যি
বসে	বসা
বসে	বসা
খায়	খায়

এইরূপ	এইরূপ
শিলাখণ্ডগুলি	শিলাখণ্ডগুল
পরস্পরের	পরস্প
সহিত	সহ
ও	ও
নদীগর্ভের	নদীগর্ভে
সহিত	সহ
সংঘর্ষের	সংঘর্
ফলে	ফল
ক্ষয়প্রাপ্ত	ক্ষয়প্রাপ্
হইয়া	হওয়া
ক্রমশঃ	ক্রমশ
মসৃণ	মসৃণ
এবং	এবং
গোলাকার	গোলাকা
নুড়ি	নুড়
কঙ্কর	কঙ্ক
ও	ও
অবশেষে	অবশেষ
বালুকণাতে	বালুকণ
পরিণত	পরিণত
হয়	হয়

তবে	তবে
সনকার	সনকা
চোখে	চোখ
তফাত্	তফাত্
ধরা	ধরা
পড়বে	পড়ব
বই	বই
কি	কি

বর্তমান	বর্তমান
বাঙালীর	বাঙালী
ধারণায়	ধারণা
তন্ত্র	তন্ত্
জটিল	জটিল
অনাচরণীয়	অনাচরণী
ধর্ম	ধর্ম

কিন্তু	কিন্তু
একটা	এক
বিপদে	বিপদ
পড়েছেন	পড়ে
বলে	বলে
মনে	মন
হচ্ছে	হওয়া

দিনের	দিন
মধ্যে	মধ্যে
বিধানসভায়	বিধানসভা
তাঁদের	তিনি
সংখ্যাগরিষ্ঠ	সংখ্যাগরিষ্
প্রমাণ	প্রমাণ
করতে	করা
হবে	হওয়া

তাহা	তাহা
ছাড়া	ছাড়
কমিউনিষ্ট	কমিউনিষ্
দলের	দল
সর্বব্যাপক	সর্বব্যাপ
নিয়ন্ত্রণ	নিয়ন্ত্রণ
আমলাতান্ত্রিক	আমলাতান্ত্রি
কুফলগুলি	কুফলগুল
প্রতিরোধে	প্রতির
সমর্থ	সমর্থ
হয়	হয়

সুতরাং	সুতরাং
প্রথম	প্রথম
প্রথম	প্রথম
রামবাবু	রামবাব
বিশেষ	বিশেষ
আগ্রহ	আগ্রহ
দেখাননি	দেখানন

তাই	তা
গণ	গ
জ্ঞাপনবিদদের	জ্ঞাপনবিদ
প্রধান	প্রধান
আলোচনার	আলোচনা
প্রধান	প্রধান
ক্ষেত্র	ক্ষেত্র
হল	হওয়া
সেই	সেই
জ্ঞাপন	জ্ঞাপ
পদ্ধতি	পদ্ধত
যা	যা
মুখের	মুখ
ভাষাকে	ভাষাক
অবলম্বন	অবলম্বন
করেই	করা
রচিত	রচিতা
এবং	এবং
হয়	হয়
সরাসরি	সরাসর
না	না
হয়	হয়
কোন	কোন
মাধ্যমকে	মাধ্যমক
অবলম্বন	অবলম্বন
করেই	করা
যা	যা
পরিব্যাপ্ত	পরিব্যাপ্

এক	এক
মহাকাশ	মহাকাশ
প্রতিযোগিতায়	প্রতিযোগি
প্রথম	প্রথম
দিকে	দিক
দারুনভাবে	দারুনভাব
এগিয়ে	এগা
থাকলেও	থাক
1963র	1963
মধ্যেই	মধ্য
সোভিয়েত	সোভি
দেশ	দেশ
এবং	এবং
মার্কিন	মার্কিন
যুক্তরাষ্ট্রের	যুক্তরাষ্ট্
আগের	আগ
ব্যবধান	ব্যবধা
বেশ	বেশ
কিছুটা	কিছু
কমে	কমে
এল	এল

পূর্বোল্লেখিত	পূর্বোল্লে
1638টি	1638ট
প্রবাদ	প্রবা
ব্যতীত	ব্যতীত
সালের	সাল
সংখ্যায়	সংখ্যা
আরও	আর
102টি	102ট
প্রকাশিত	প্রকাশ
হয়েছিল	হয়ো
দেখা	দেখা
যায়	যায়

বহন	বহন
দণ্ডের	দণ্ডে
দুই	দুই
প্রান্তে	প্রান্ত
বিভিন্ন	বিভিন্ন
পশুর	পশু
মুখ	মুখ
খোদাই	খোদা
করা	করা

গাড়ির	গাড়ি
রক্ষণাবেক্ষণ	রক্ষণাবেক্ষ
রমেশ	রমে
মিত্র	মিত্র
রোডে	রোড
পঁয়ত্রিশ	পঁয়ত্রি
বছর	বছর
ধরে	ধরা
রয়েছে	রওয়া
হাবুল'স	হাবুল'
অটো	অট
এঞ্জিনীয়ারিং	এঞ্জিনীয়ারি
ওয়ার্কস	ওয়ার্ক
আর	আর
বিগড়ে	বি
যাওয়া	যাওয়া
গাড়ি	গাড়
সারানোর	সারানো
ওস্তাদ	ওস্তা
কারিগর	কার
গোপাল	গোপাল
দেবনাথ	দেবনা

অন্যান্য	অন্যান্য
ভাবের	ভাবে
ক্ষেত্রে	ক্ষেত্র
শুভফল	শুভফল
মিত্র	মিত্র
উচ্চগৃহে	উচ্চগৃহ
অবস্থানের	অবস্থা
উপর	উপর
নির্ভরশীল	নির্ভরশী
